Normal_process,Domain
chrome.exe,api.gofile.io
msedge.exe,api.gofile.io
safari.exe,api.gofile.io
opera.exe,api.gofile.io
iexplore.exe,api.gofile.io
firefox.exe,api.gofile.io
brave.exe,api.gofile.io
msedgewebview2.exe,api.gofile.io
chrome.exe,zulipchat.com
msedge.exe,zulipchat.com
safari.exe,zulipchat.com
opera.exe,zulipchat.com
iexplore.exe,zulipchat.com
firefox.exe,zulipchat.com
brave.exe,zulipchat.com
msedgewebview2.exe,zulipchat.com
msedgewebview2.exe,telegram
telegram.exe,telegram
msedge.exe,telegram
safari.exe,telegram
opera.exe,telegram
chrome.exe,telegram
iexplore.exe,telegram
firefox.exe,telegram
brave.exe,telegram
AppHostRegistrationVerifier.exe,telegram
IntelConnectivityNetworkService.exe,telegram
ZSATunnel.exe,telegram
ExpressConnectNetworkService.exe,telegram
creative cloud ui helper.exe,telegram
chrome.exe,blob.core.windows.net
msedge.exe,blob.core.windows.net
safari.exe,blob.core.windows.net
opera.exe,blob.core.windows.net
iexplore.exe,blob.core.windows.net
firefox.exe,blob.core.windows.net
brave.exe,blob.core.windows.net
msedgewebview2.exe,blob.core.windows.net
discord.exe,discord
msedge.exe,discord
safari.exe,discord
opera.exe,discord
chrome.exe,discord
iexplore.exe,discord
firefox.exe,discord
brave.exe,discord
msedgewebview2.exe,discord
msedge.exe,r2.dev
safari.exe,r2.dev
opera.exe,r2.dev
chrome.exe,r2.dev
iexplore.exe,r2.dev
firefox.exe,r2.dev
brave.exe,r2.dev
ZSATunnel.exe,r2.dev
msedgewebview2.exe,r2.dev
