"tool","indicatortype","value"
"radmin","domain","radmin.com"
"sunlogin","domain","sunlogin.oray.com"
"sunlogin","domain","client.oray.net"
"myivo","domain","myivo-server.software.informer.com"
"level.io","process","level.exe"
"level.io","process","osqueryi.exe"
"level.io","domain","level.io"
"level.io","domain",".level.io"
"beanywhere","domain","beanywhere.en.uptodown.com/windows"
"beanywhere","domain","beanywhere.com"
"optitune","domain",".optitune.us"
"optitune","domain",".opti-tune.com"
"kaseya (vsa)","domain","deploy01.kaseya.com"
"kaseya (vsa)","domain","managedsupport.kaseya.net"
"kaseya (vsa)","domain",".kaseya.net"
"kaseya (vsa)","domain","kaseya.com"
"tanium","domain","cloud.tanium.com"
"tanium","domain",".cloud.tanium.com"
"zabbix agent","domain","zabbix.com"
"pocket controller (soti xsight)","domain","soti.net"
"zoho assist","domain",".zoho.com.au"
"zoho assist","domain",".zohoassist.jp"
"zoho assist","domain","assist.zoho.com"
"zoho assist","domain","zoho.com/assist/"
"zoho assist","domain",".zoho.in"
"zoho assist","domain","downloads.zohodl.com.cn"
"zoho assist","domain",".zohoassist.com"
"zoho assist","domain","downloads.zohocdn.com"
"zoho assist","domain","gateway.zohoassist.com"
"zoho assist","domain",".zohoassist.com.cn"
"zoho assist","domain",".zoho.com.cn"
"zoho assist","domain",".zoho.com"
"zoho assist","domain",".zoho.eu"
"fortra","domain","fortra.com"
"pulseway","domain","pulseway.com"
"hoptodesk","process","hoptodesk.exe"
"hoptodesk","process","privacyhelper.exe"
"hoptodesk","domain","hoptodesk.com"
"hoptodesk","domain","api.hoptodesk.com"
"hoptodesk","domain","signal.hoptodesk.com"
"hoptodesk","domain","turn.hoptodesk.com"
"hoptodesk","domain","download.hoptodesk.com"
"hoptodesk","domain","www.hoptodesk.com"
"ngrok","domain","connect.ngrok-agent.com"
"ngrok","domain","connect.us.ngrok-agent.com"
"ngrok","domain","connect.eu.ngrok-agent.com"
"ngrok","domain","connect.ap.ngrok-agent.com"
"ngrok","domain","connect.au.ngrok-agent.com"
"ngrok","domain","connect.sa.ngrok-agent.com"
"ngrok","domain","connect.jp.ngrok-agent.com"
"ngrok","domain","connect.in.ngrok-agent.com"
"ngrok","domain","ngrok.com"
"remote utilities","domain",".internetid.ru"
"res automation manager","domain","ivanti.com/"
"goverlan","domain","goverlan.com"
"idrive","domain","idrive.com"
"idrive","domain",".idrive.com"
"idrive","domain","api.idrive.com"
"ivanti remote control","domain",".ivanticloud.com"
"heartbeatrm","process","agent-installer-any.exe"
"heartbeatrm","domain",".heartbeatrm.com"
"heartbeatrm","domain","heartbeatrm.com"
"labtech rmm (now connectwise automate)","domain","connectwise.com"
"emco remote console","domain","emcosoftware.com"
"miradore","domain","gateway.miradore.com"
"miradore","domain",".miradore.com"
"miradore","domain","miradore.com"
"miradore","domain","gerwconline.blob.core.windows.net"
"naverisk","domain","naverisk.com"
"tailscale","domain",".tailscale.com"
"tailscale","domain",".tailscale.io"
"tailscale","domain","tailscale.com"
"adobe connect","domain",".adobeconnect.com"
"visual studio dev tunnel","domain","global.rel.tunnels.api.visualstudio.com"
"visual studio dev tunnel","domain",".rel.tunnels.api.visualstudio.com"
"visual studio dev tunnel","domain",".devtunnels.ms"
"encapto","domain","encapto.com"
"crosstec remote control","domain","crosstecsoftware.com/remotecontrol"
"pcnow","domain","au.pcmag.com/utilities/21470/webex-pcnow"
"basecamp","domain","basecamp.com"
"ammyy admin","domain","ammyy.com"
"ammyy admin","domain","ammyy.com"
"ammyy admin","domain","136.243.104.235"
"ammyy admin","domain","136.243.104.242"
"ammyy admin","domain","136.243.18.122"
"splashtop","process","srservice.exe"
"splashtop","process","sragent.exe"
"splashtop","process","ssuagent.exe"
"splashtop","process","srutility.exe"
"splashtop","process","srfeature.exe"
"splashtop","domain",".splashtop.com"
"runsmart","domain","runsmart.io"
"neturo","domain","neturo.uplus.co.kr"
"quest kace agent (formerly dell kace)","domain",".kace.com"
"quest kace agent (formerly dell kace)","domain","www.quest.com/kace/"
"connectwise automate (labtech)","domain",".hostedrmm.com"
"dw service","domain",".dwservice.net"
"barracuda","domain",".islonline.net"
"barracuda","domain","rmm.barracudamsp.com"
"barracuda","domain","barracudamsp.com"
"ezhelp","domain",".ezhelp.co.kr"
"ezhelp","domain","ezhelp.co.kr"
